"To prevent household theft, anticrime experts often advocate taking such inexpensive measures as increasing outdoor lighting or installing deadbolt locks on doors, instead of installing expensive alarm systems. Although these measures do not make it significantly more difficult to gain forcible entrance, they often are an effective deterrent nonetheless.

The situation described above most closely conforms to which one of the following generalizations? 
A. Homeowners prefer expensive modifications to inexpensive modifications. 
B. The problem of household theft will be solved through the adoption of inexpensive measures. 
C. Inexpensive options and expensive options are equally effective. 
D. Criminals are often not clever enough to overcome even minor obstacles that they encounter. 
E. A relatively small inconvenience will stop would-be thieves in many cases.",E
"For shepherds, using llamas for guarding sheep is cheaper than using dogs. To be sure, purchasing a llama can cost $300 more than an appropriate dog. But guard dogs require a year of training, and about half of all guard dogs are lost to disease or accidents before the age of three. On average, llamas live much longer than dogs, and they require no more than a few days of training. Finally, dogs are expensive to feed, whereas llamas graze on the same land as the sheep.
The reasoning in the argument above is least similar to the reasoning in which one of the following arguments?
A. It is cheaper in the long run to buy a more expensive watch than to buy a cheap one, since a more expensive one will last much longer.
B. An energy-efficient refrigerator is more expensive in the short term, but because of the energy savings is actually cheaper in the long term.
C. Employers are well-advised to hire people who have experience, even if recruitment costs are higher, because the increased productivity will more than offset the higher costs.
D. The new air-conditioning agents being used in place of CFCs are more difficult to produce, but they are safer for the environment, so CFCs should be phased out.
E. Buying laundry detergent in large quantities requires a larger outlay initially, but is actually less expensive per wash, and thus cheaper in the long run.",D
"Drivers who claim that it is dangerous to have so many trucks on the highways are being alarmists. Examine your nearest shopping mall. Does it have an airstrip, boat dock, or rail spur? Probably not. People are dependent on trucks yet claim that they are dangerous.
A reasoning flaw in the argument is that the argument:
A. appeals to popular opinion
B. fails to distinguish between large trucks and small trucks
C. does not assess the economics of alternate shipping methods
D. does not actually address the potential dangers of trucks
E. fails to consider that many shopping malls are not near highways",D
"For millions of years the spider Latrodectus mactans has possessed remarkably toxic venom. Because much weaker toxins would still be fatal to all of the spider's prey, no evolutionary advantage results from the extreme potency of its venom. Therefore, it can reasonably be concluded that the extreme toxicity of Latrodectus mactans's venom is genetically linked with traits that are advantageous.

Which one of the following principles, if valid, provides the strongest support for the inference above?
A. If a trait that is disadvantageous is preserved for a long time in a species, the traits with which it is genetically linked are probably advantageous.
B. A trait that neither hinders nor helps survival will probably be extinguished if it is genetically linked to traits that are disadvantageous.
C. All traits that are preserved for a long time in a species are likely to be advantageous.
D. A trait will probably not survive for long in a species if neither it nor the traits with which it is genetically linked are advantageous.
E. Only those traits that survive in a species for a long time are likely to be advantageous.",D
"Yvette: The rise of transnational corporations will lead to greater cultural homogenization, because people throughout the world will abandon their traditional cultural identities and embrace a common corporate work culture. Aisha: But, to succeed, corporations have to conform to the traditional cultures in the individual nation-states in which they do business. So, rather than breaking down traditional cultural identities, transnational corporations will actually affirm the stability of traditional cultures.

Yvette and Aisha disagree about whether:
A. nation-states encourage the cultural homogenization of their peoples
B. transnational corporations can adapt to the culture of each nation-state in which they do business
C. transnational corporations are dependent on the nation-states in which they do business
D. transnational corporations will contribute to the decline of traditional cultural identities
E. the development of transnational corporations increases the political power of nation-states",D
"No reported case of telekinetic power has been replicated in a controlled scientific environment. Thus, since only phenomena that warrant investigation by major research institutions are considered legitimate by most scientists, no reported case of telekinetic power is considered legitimate by most scientists.

The conclusion of the argument follows logically if which one of the following is assumed?
A. Any phenomenon that warrants investigation by major research institutions is considered by all scientists to be legitimate.
B. No phenomenon capable of being replicated in a controlled scientific environment is thought by most scientists to be illegitimate.
C. If a phenomenon warrants investigation by major research institutions, the phenomenon has been replicated in a controlled scientific environment.
D. Any phenomenon that warrants investigation by major research institutions is thought by most scientists to be legitimate.
E. If a phenomenon has been replicated in a controlled scientific environment, then it is probably considered legitimate by most scientists.",C
"Although most good judges are both impartial and compassionate, no one who is unwilling to apply the law regardless of strong personal beliefs is a good judge. Furthermore, all good judges have a thorough knowledge of the law, but few people who lack an understanding of human psychology and motivations make good judges.

If all of the statements above are true, which one of the following must also be true?
A. Most bad judges do not have an adequate understanding of human psychology.
B. Some uncompassionate people have a thorough knowledge of the law.
C. Most people who understand human psychology are both impartial and compassionate.
D. Few people who have a thorough knowledge of the law lack an understanding of human psychology.
E. Some people who have a thorough knowledge of the law are willing to apply the law regardless of strong personal beliefs.",E
"In an attempt to reduce spending on highways, researchers are trying to develop technology that will regulate highway tolls according to how heavy the traffic is. This technology would cause traffic to become more evenly spread out over the course of a day than it is now. Therefore, if this technology is developed, the amount of money that will have to be spent on construction of new highways will decrease.

Which one of the following, if true, most strengthens the argument?
A. The increased speeds at which people will drive because of the more evenly spread out traffic will enable some people to live farther away from work than they now live.
B. If highway traffic during peak volume periods is reduced, then some people who used to commute to work via mass transit will begin to drive to work on highways.
C. The number of lanes a new highway needs is more strongly dependent on the peak amount of traffic it is expected to carry than on the average amount it is expected to carry.
D. Using only the technology that exists now, it is possible to charge higher highway tolls during the times of day when traffic is usually heavier.
E. Most of the people who currently commute to work on highways during peak volume periods work for employers that offer them very little, if any, flexibility in the hours they work.",C
"Doctors have long known that high blood-triglyceride levels render a person more likely to contract heart disease and that adequate metabolization of polyunsaturated fatty acids tends to reduce triglyceride levels. Recent research shows that certain margarines and other products made from hydrogenated vegetable oils have a high trans-fatty acid content and consequently interfere with adequate metabolization of polyunsaturated fatty acids.

Which one of the following is most supported by the statements above?
A. Hydrogenating vegetable oils increases the amount of trans-fatty acids they contain.
B. Polyunsaturated fatty acids are less of a risk factor for heart disease than are trans-fatty acids.
C. Certain kinds of fats are adequately metabolized only when certain other kinds of fats are present.
D. Consumption of certain margarines may be a contributing factor to heart disease in some people.
E. By not eating margarine and other products made from hydrogenated vegetable oils, one can avoid heart disease.",D
"Advertisement: Oakgrove Furniture World is currently offering discounts of 10 to 20 percent off its usual retail price on every item in stock. No other furniture stores in town are currently offering any furniture at less than their usual retail prices. So there can be no denying that Oakgrove Furniture World currently offers the best furniture bargains in town!

Which one of the following, if true, would most seriously undermine the advertisement's argument?
A. The usual retail price of an item at Oakgrove Furniture World is typically more than 20 percent higher than that of a comparable item at any other furniture store in town.
B. When other stores in town offer furniture at a discount, their prices are typically lower than the prices currently being charged by Oakgrove Furniture World.
C. Oakgrove Furniture World generally carries furniture of higher quality than other stores in town.
D. Oakgrove Furniture World is offering discounts only in order to drive its competitors out of business, so that it can charge much higher prices in the future.
E. Oakgrove Furniture World charges more for financing furniture purchases than any other store in town.",A
